Date,Equity
2023-08-01,196228.35776086085
2023-08-02,183421.89140271017
2023-08-04,183649.1406615913
2023-08-07,194397.74688495634
2023-08-08,192265.63971161967
2023-08-09,191274.98625772662
2023-08-10,181955.80254886806
2023-08-11,184737.04300854763
2023-08-14,182341.13859178175
2023-08-15,189649.87739284316
2023-08-16,196314.25671704565
2023-08-17,200884.2104604707
2023-08-18,193803.44839682136
2023-08-21,196702.77606409474
2023-08-22,200225.98216581866
2023-08-23,202936.70266242223
2023-08-24,202604.93661376776
2023-08-25,196662.70779086722
2023-08-28,193957.4740735368
2023-08-29,195164.83059613238
2023-08-30,195735.55512045196
2023-08-31,195572.85427923308
2023-09-01,194041.3755669075
2023-09-04,194400.4495585999
2023-09-05,194310.94093099964
2023-09-06,195435.48719425395
2023-09-07,195192.3947916415
2023-09-08,194883.92034750342
2023-09-11,193202.0137874969
2023-09-12,193735.2574419408
2023-09-13,193646.2565889512
2023-09-14,194937.09481447414
2023-09-15,195542.11044474968
2023-09-18,194475.7951794352
2023-09-19,194582.31601392088
2023-09-20,192591.73907930066
2023-09-21,190457.64952852778
2023-09-22,191724.73775552097
2023-09-25,193239.50077906853
2023-09-26,192527.805588042
2023-09-27,193048.51088700735
2023-09-28,193355.0705591994
2023-10-02,193335.43736590442
2023-10-03,193147.25118249044
2023-10-04,193115.54877364208
2023-10-05,193359.8485548094
2023-10-06,193313.2067998723
2023-10-11,193220.2181430058
2023-10-12,193555.67958747575
2023-10-13,193504.3261462803
2023-10-16,193064.88051772583
2023-10-17,192928.1460640373
2023-10-18,192144.76910657037
2023-10-19,191945.87928371163
2023-10-20,191291.42581534173
2023-10-23,190277.40812272477
2023-10-24,189905.14937499355
2023-10-25,189819.65396252734
2023-10-26,189355.02866194333
2023-10-27,189040.46090426063
2023-10-30,189452.64427070573
2023-10-31,188453.83849777287
2023-11-01,188592.78031730646
2023-11-02,189238.23686536928
2023-11-03,189432.30878953612
2023-11-06,191121.8567374042
2023-11-07,194819.09530576237
2023-11-08,195623.73758317175
2023-11-09,194726.59460187564
2023-11-10,193418.71401146974
2023-11-13,192345.64781460786
2023-11-14,192509.8202985573
2023-11-15,192760.99171286233
2023-11-16,191966.48123140665
2023-11-17,191486.19878570733
2023-11-20,191743.97023575907
2023-11-21,192714.2102185809
2023-11-22,192599.39475091174
2023-11-23,191452.94502535113
2023-11-24,191736.4247628
2023-11-27,188581.77149209904
2023-11-28,191830.78816295645
2023-11-29,193249.8308782534
2023-11-30,193285.69548189326
2023-12-01,193978.32328907633
2023-12-04,194941.25420771175
2023-12-05,198000.44559618505
2023-12-06,200485.15487260395
2023-12-07,202839.51417583562
2023-12-08,206779.5259792494
2023-12-11,203973.2526621404
2023-12-12,206049.5538492654
2023-12-13,207165.85871858147
2023-12-14,207697.0541208703
2023-12-15,205331.00785492276
2023-12-18,203339.95750376204
2023-12-19,201667.37672070003
2023-12-20,200461.4970497228
2023-12-21,199347.1876111083
2023-12-22,200971.7701546841
2023-12-25,200053.79147457893
2023-12-26,202599.98920459262
2023-12-27,204626.49195901302
2023-12-28,204472.3001970209
2023-12-29,203178.0841448301
2024-01-02,202255.8203868267
2024-01-03,200656.83300166726
2024-01-04,200700.60205904575
2024-01-05,200350.8687234415
2024-01-08,199421.20410576812
2024-01-09,195517.96787472552
2024-01-10,192986.02316448512
2024-01-11,193825.2816902899
2024-01-12,193218.6209116971
2024-01-15,193488.15613486827
2024-01-16,194375.5925075829
2024-01-17,192817.88861427616
2024-01-18,193481.3484029838
2024-01-19,194730.2843809163
2024-01-22,197150.23183470214
2024-01-23,198832.71256463355
2024-01-24,197940.20629410987
2024-01-25,198768.79529196586
2024-01-26,196928.67805095235
2024-01-29,198459.043210017
2024-01-30,199699.03051082132
2024-01-31,197481.06804023072
2024-02-01,202454.07043027767
2024-02-02,205964.85911992512
2024-02-05,208059.4390396432
2024-02-15,215151.48655935365
2024-02-16,211629.9235099279
2024-02-19,207169.91706383167
2024-02-20,205291.72048931135
2024-02-21,203712.46311809294
2024-02-22,205402.11603391796
2024-02-23,205796.61440186886
2024-02-26,205555.66383032908
2024-02-27,201968.16575886472
2024-02-29,207076.10550836293
2024-03-01,210077.7874178767
2024-03-04,212576.58948265272
2024-03-05,217847.56739080328
2024-03-06,222802.24900391354
2024-03-07,220135.63988907
2024-03-08,215524.13902182574
2024-03-11,217285.8933908403
2024-03-12,220050.72699145984
2024-03-13,217808.36821696695
2024-03-14,211735.30730476743
2024-03-15,209624.13800505304
