,Score
2383,3.9
3443,3.8666666666666663
6285,3.8333333333333335
6415,3.733333333333333
2345,3.666666666666667
2308,3.65
3711,3.6166666666666663
3037,3.5833333333333335
2360,3.5
3533,3.4333333333333336
2303,3.4166666666666665
3017,3.3000000000000003
2368,3.266666666666667
2454,3.1333333333333333
3044,3.0333333333333337
3661,2.95
2382,2.95
2327,2.9166666666666665
2376,2.8499999999999996
2885,2.6999999999999997
2379,2.6166666666666667
1303,2.5
2330,2.433333333333333
6669,2.4
3231,2.35
1326,2.3333333333333335
4938,2.2666666666666666
5871,2.2666666666666666
2356,2.2
1301,2.0333333333333337
2395,1.9833333333333334
3034,1.9666666666666668
2301,1.8333333333333333
2404,1.8166666666666667
3706,1.6666666666666667
2357,1.5833333333333335
3045,1.5500000000000003
2882,1.5166666666666668
6239,1.3833333333333333
2412,1.2833333333333332
2884,1.2666666666666666
2317,1.2499999999999998
2891,1.15
2886,1.15
3481,1.0
2002,0.9833333333333334
2324,0.9333333333333333
6446,0.9333333333333333
1519,0.8999999999999999
2887,0.7666666666666666
2881,0.7166666666666668
2603,0.6833333333333333
3036,0.6666666666666667
6505,0.6166666666666666
2449,0.4
2408,0.39999999999999997
2605,0.3833333333333333
2609,0.31666666666666665
2344,0.11666666666666667
6770,0.08333333333333334
