Date,Equity
2023-06-16,198705.77734674767
2023-06-19,198533.09514052424
2023-06-20,196312.60958592995
2023-06-21,199572.17552431615
2023-06-26,195999.92849992984
2023-06-27,187625.83859816878
2023-06-28,188911.92317615985
2023-06-29,192079.1831613752
2023-06-30,196521.27272584423
2023-07-03,204177.32517883793
2023-07-04,212956.60610265084
2023-07-05,208876.15634282163
2023-07-06,209779.87619991525
2023-07-07,207752.52681872644
2023-07-10,210376.18658025388
2023-07-11,218099.43056650247
2023-07-12,226783.56352101857
2023-07-13,232296.63680675148
2023-07-14,239422.89892662913
2023-07-17,238725.11956104415
2023-07-18,235678.57590070527
2023-07-19,231603.91395178912
2023-07-20,237627.65161410134
2023-07-21,251664.82013040152
2023-07-24,256553.2336183741
2023-07-25,251791.6445336495
2023-07-26,249802.57584946768
2023-07-27,248428.28772128507
2023-07-28,252471.51922532538
2023-07-31,245778.41561660435
2023-08-01,242749.7364060632
2023-08-02,223246.2977169584
2023-08-04,224822.91057422204
2023-08-07,235941.20538363705
2023-08-08,234482.1612290417
2023-08-09,234795.6396817771
2023-08-10,224149.79944451095
2023-08-11,227809.42906030075
2023-08-14,225596.63328908363
2023-08-15,234180.7865041527
2023-08-16,240942.4102448885
2023-08-17,247294.92589023814
2023-08-18,240125.01801961253
2023-08-21,244299.53822278758
2023-08-22,247978.68363919185
2023-08-23,250047.35182752198
2023-08-24,250383.31139942756
2023-08-25,246490.2001084464
2023-08-28,244170.5016756993
2023-08-29,244663.47375048004
2023-08-30,244885.9258226342
2023-08-31,245646.01135937334
2023-09-01,243199.62158101474
2023-09-04,243808.07042420565
2023-09-05,243689.3177041484
2023-09-06,244403.89730204613
2023-09-07,243868.51785329703
2023-09-08,243311.00714489297
2023-09-11,241675.77499625733
2023-09-12,242203.9963967581
2023-09-13,242069.30295237742
2023-09-14,242671.48435680385
2023-09-15,243269.8215439639
2023-09-18,241770.51621016423
2023-09-19,241577.53873658646
2023-09-20,239329.26249272106
2023-09-21,237862.75240143968
2023-09-22,239257.4150146119
2023-09-25,240605.30952487566
2023-09-26,239715.12117671082
2023-09-27,240723.40988262446
2023-09-28,241060.5023006074
2023-10-02,241327.40534735424
2023-10-03,241288.30417922733
2023-10-04,241287.00544396913
2023-10-05,241734.7408552866
2023-10-06,241567.19898831475
2023-10-11,241343.90899952367
2023-10-12,241811.4927407754
2023-10-13,241799.06672066837
2023-10-16,240809.5419289172
2023-10-17,239939.60104751957
2023-10-18,236882.67710454043
2023-10-19,237205.8096318505
2023-10-20,236793.74447631658
2023-10-23,235837.2359096535
2023-10-24,235980.94806272903
2023-10-25,235613.03104853653
2023-10-26,234251.10787793432
2023-10-27,234719.19371429918
2023-10-30,234941.6568718136
2023-10-31,233219.73743871832
2023-11-01,233362.39332623553
2023-11-02,234696.44490381054
2023-11-03,235975.6053165033
2023-11-06,238021.94977814506
2023-11-07,243267.07438960383
2023-11-08,244647.41251470623
2023-11-09,243276.54063003417
2023-11-10,241283.69168923612
2023-11-13,239887.53143787387
2023-11-14,240539.8309786803
2023-11-15,241043.38585717994
2023-11-16,240643.6199512242
2023-11-17,240698.4010034613
2023-11-20,240778.57437571906
2023-11-21,242207.69255684273
2023-11-22,242326.0302687736
2023-11-23,239944.85093560338
2023-11-24,239592.40846755347
2023-11-27,236202.71557465586
2023-11-28,239910.81487447198
2023-11-29,241367.33207168002
2023-11-30,241072.48361551444
2023-12-01,241673.87245634943
2023-12-04,244518.2807561401
2023-12-05,247614.13002360528
2023-12-06,248839.69442656846
2023-12-07,249522.41443450624
2023-12-08,252213.1547794547
2023-12-11,249752.27334675594
2023-12-12,252055.98066161518
2023-12-13,253098.20988353225
2023-12-14,251758.4052499806
2023-12-15,249892.3916088512
2023-12-18,248762.52672028847
2023-12-19,245666.76714760155
2023-12-20,244794.984618977
2023-12-21,242310.08468800734
2023-12-22,243822.50422356627
2023-12-25,240210.9877642521
2023-12-26,242088.20892157173
2023-12-27,243810.0997920557
2023-12-28,243347.233387014
2023-12-29,242374.6101215563
2024-01-02,242288.2603009079
2024-01-03,240023.1325438321
2024-01-04,240389.52635305715
2024-01-05,240356.58402704127
2024-01-08,239176.3922526489
2024-01-09,235165.80429059418
2024-01-10,231771.21333052556
2024-01-11,232798.67377828233
2024-01-12,231609.23506921405
2024-01-15,230544.17448708395
2024-01-16,231941.3994952483
2024-01-17,229894.57690649145
2024-01-18,230951.52745171412
2024-01-19,232251.603394993
2024-01-22,236447.3685103764
2024-01-23,238920.66752690935
2024-01-24,236892.53568388283
2024-01-25,237034.0997725511
2024-01-26,235510.70014249708
2024-01-29,238198.57473235286
2024-01-30,240087.27710484565
2024-01-31,238736.46018595804
2024-02-01,245950.07067781192
2024-02-02,251504.865442628
2024-02-05,254657.38592163386
2024-02-15,264265.26766377565
2024-02-16,260166.91794286488
2024-02-19,257769.39739966238
2024-02-20,256026.21733325825
2024-02-21,254671.3428365228
2024-02-22,256995.84745067253
2024-02-23,255358.1349028019
2024-02-26,255031.32229337533
2024-02-27,250833.617945025
2024-02-29,256210.54678204254
2024-03-01,259288.28938302957
2024-03-04,261976.9952806577
2024-03-05,267068.9581151212
2024-03-06,271704.5292862532
2024-03-07,266284.58224088757
2024-03-08,259646.24719486438
2024-03-11,261611.4180532417
2024-03-12,263523.922627602
2024-03-13,261812.4394897901
2024-03-14,252229.288280556
2024-03-15,248814.583408462
2024-03-18,255580.8892682855
2024-03-19,256833.06522053407
2024-03-20,255599.79304201217
2024-03-21,257697.750226401
2024-03-22,255518.522953363
2024-03-25,256026.9389033696
2024-03-26,251492.31394611468
2024-03-27,251991.78034268587
2024-03-28,253644.21528698705
2024-03-29,253928.59511992653
2024-04-01,252027.87822425802
