Date,Equity
2023-04-07,988632.4546421994
2023-04-10,1013592.3531997104
2023-04-11,1026789.0182294127
2023-04-12,1044095.5233232636
2023-04-13,1022269.4382451223
2023-04-14,1028859.4257710491
2023-04-17,1033196.1675941149
2023-04-18,1021257.4588275284
2023-04-19,1030160.0381035109
2023-04-20,1016393.7949166342
2023-04-21,991398.9485358153
2023-04-24,1008924.1141361182
2023-04-25,974126.3821086169
2023-04-26,987462.7177547085
2023-04-27,1005514.797823337
2023-04-28,1012550.0873156626
2023-05-02,1037419.1433786515
2023-05-03,1025079.8480722132
2023-05-04,1027433.294341237
2023-05-05,1022168.7041133959
2023-05-08,1033738.4896357659
2023-05-09,1027157.3689649436
2023-05-10,1022451.6652735493
2023-05-11,1016341.0743367523
2023-05-12,1022217.4054487483
2023-05-15,1024051.0969955504
2023-05-16,1028813.8591912108
2023-05-17,1028052.8843430777
2023-05-18,1042507.4206002725
2023-05-19,1059441.1947771627
2023-05-22,1057795.1676945135
2023-05-23,1067312.2073504943
2023-05-24,1072590.76238684
2023-05-25,1106938.1031388268
2023-05-26,1103225.350524902
2023-05-29,1139060.2463495578
2023-05-30,1134805.7480924854
2023-05-31,1140317.498659959
2023-06-01,1162663.1460222653
2023-06-02,1183307.8666994015
2023-06-05,1188440.5342688295
2023-06-06,1185813.7724418151
2023-06-07,1217583.016572577
2023-06-08,1187921.278175998
2023-06-09,1221690.3720493414
2023-06-12,1213154.2513922523
2023-06-13,1247053.7229507798
2023-06-14,1273718.736713029
2023-06-15,1320701.9652183866
2023-06-16,1335774.606133974
2023-06-19,1328154.176234635
2023-06-20,1325063.9074024907
2023-06-21,1347462.2846728382
2023-06-26,1324488.4843385597
2023-06-27,1272963.476357256
2023-06-28,1280363.3709711197
2023-06-29,1303676.6038718966
2023-06-30,1329939.2842717022
2023-07-03,1371597.3171178962
2023-07-04,1446143.8609845769
2023-07-05,1432164.2005433652
2023-07-06,1422584.6269448444
2023-07-07,1405318.1602297223
2023-07-10,1425450.4109500754
2023-07-11,1484037.386663686
2023-07-12,1530924.2750499304
2023-07-13,1565605.596163049
2023-07-14,1604763.7971808207
2023-07-17,1603603.6929558537
2023-07-18,1591409.621290677
2023-07-19,1563053.7869834828
2023-07-20,1610488.5412342795
2023-07-21,1699041.655400775
2023-07-24,1737070.4072830076
2023-07-25,1707572.4599790797
2023-07-26,1701050.9731045077
2023-07-27,1692334.3397509463
2023-07-28,1723192.729376092
2023-07-31,1669128.7983618584
2023-08-01,1650888.0275138568
2023-08-02,1527340.0884506593
2023-08-04,1537850.4399117697
2023-08-07,1619510.9261138279
2023-08-08,1606402.2762578723
2023-08-09,1605652.2323292638
2023-08-10,1532585.171037996
2023-08-11,1555935.9672347892
2023-08-14,1533030.7918911716
2023-08-15,1586947.5787342407
2023-08-16,1628800.0157536457
2023-08-17,1668758.5526156523
2023-08-18,1625479.465528276
2023-08-21,1651405.1165455773
2023-08-22,1675426.6438377432
2023-08-23,1689080.5146045987
2023-08-24,1693371.771522703
2023-08-25,1666963.8786318568
2023-08-28,1652200.7287899107
2023-08-29,1654534.0180893014
2023-08-30,1653934.6010007346
2023-08-31,1654305.5937593502
2023-09-01,1645246.9524414265
2023-09-04,1646811.0278901362
2023-09-05,1645404.8400343684
2023-09-06,1647321.5868582802
2023-09-07,1645742.63914542
2023-09-08,1641846.2195614069
2023-09-11,1633386.3245278646
2023-09-12,1635631.1890932217
2023-09-13,1637799.366641688
2023-09-14,1640932.2347284516
2023-09-15,1642322.3444381156
2023-09-18,1635840.7895543955
2023-09-19,1633943.5536626491
2023-09-20,1618936.224426428
2023-09-21,1608364.452918459
2023-09-22,1613042.9566452107
2023-09-25,1617825.3330479586
2023-09-26,1613635.7409656215
2023-09-27,1617265.0621050745
2023-09-28,1618869.6016951331
2023-10-02,1619567.5127056194
2023-10-03,1620009.2820156012
2023-10-04,1619051.9732048688
2023-10-05,1622187.162356125
2023-10-06,1620679.7800535297
2023-10-11,1620399.2120429387
2023-10-12,1623143.2573710654
2023-10-13,1624399.3780995368
2023-10-16,1617716.7356290661
2023-10-17,1612970.1832806193
2023-10-18,1593736.2451282125
2023-10-19,1595593.0791012112
2023-10-20,1592659.9871337712
2023-10-23,1585980.7730255676
2023-10-24,1585850.933467873
2023-10-25,1584035.4753571658
2023-10-26,1574930.0135649466
2023-10-27,1578593.616219725
2023-10-30,1580027.726661752
2023-10-31,1569126.6656032382
2023-11-01,1570027.7930835998
2023-11-02,1578869.7513024763
2023-11-03,1587059.5722528077
2023-11-06,1600756.4102072022
2023-11-07,1635746.2261617493
2023-11-08,1643485.840200785
2023-11-09,1636015.9016887872
2023-11-10,1622565.9508930151
2023-11-13,1609289.7568728558
2023-11-14,1616603.260326347
2023-11-15,1613049.1291606044
2023-11-16,1603812.51948147
2023-11-17,1605510.2165787637
2023-11-20,1606078.1020666123
2023-11-21,1613455.0301847563
2023-11-22,1610757.3429840652
2023-11-23,1596155.98163697
2023-11-24,1592664.2357846024
2023-11-27,1568704.6596300087
2023-11-28,1594155.6743990574
2023-11-29,1603951.9392749232
2023-11-30,1601670.0564044283
2023-12-01,1610723.8647273749
2023-12-04,1610708.6709974161
2023-12-05,1638067.408042157
2023-12-06,1661495.193676521
2023-12-07,1683398.6671279976
2023-12-08,1712650.568182029
2023-12-11,1680644.163958445
2023-12-12,1694176.7650371233
2023-12-13,1694585.0120909761
2023-12-14,1689858.809836181
2023-12-15,1674447.6715424308
2023-12-18,1667213.781669083
2023-12-19,1646224.9731202407
2023-12-20,1639566.6294944168
2023-12-21,1628442.2509747022
2023-12-22,1639492.3599079272
2023-12-25,1610457.2187668402
2023-12-26,1627902.4246030536
2023-12-27,1638826.6946462863
2023-12-28,1631044.7176567009
2023-12-29,1626504.572705994
2024-01-02,1624691.211102047
2024-01-03,1609675.0467579537
2024-01-04,1612393.0772021448
2024-01-05,1612007.258109929
2024-01-08,1601160.5197794226
2024-01-09,1564542.3805469302
2024-01-10,1550090.0994097556
2024-01-11,1553424.849769622
2024-01-12,1550283.3943719717
2024-01-15,1541672.638485523
2024-01-16,1547015.8521111135
2024-01-17,1536109.696608001
2024-01-18,1539713.628457552
2024-01-19,1555609.4944326722
2024-01-22,1585829.0404733322
2024-01-23,1602764.5211107954
2024-01-24,1596393.4534102008
2024-01-25,1599781.603592306
2024-01-26,1585723.5107004764
2024-01-29,1599781.6345672281
2024-01-30,1622785.8635087532
2024-01-31,1611379.3878921205
2024-02-01,1663025.2022846844
2024-02-02,1719474.0599117281
2024-02-05,1740099.8539826332
2024-02-15,1807808.8793716135
2024-02-16,1775300.567114869
2024-02-19,1753167.4069329489
2024-02-20,1740138.111058598
2024-02-21,1729737.2989196912
2024-02-22,1746011.5664733578
2024-02-23,1736613.6017092047
2024-02-26,1737405.2189479768
2024-02-27,1706467.2301532496
2024-02-29,1751219.0086702695
2024-03-01,1774673.134498722
2024-03-04,1789499.000335997
2024-03-05,1835784.4689901436
2024-03-06,1880518.9535685747
2024-03-07,1849133.9735080544
2024-03-08,1805727.9900476756
2024-03-11,1825148.3063582273
2024-03-12,1831013.2935527386
2024-03-13,1807177.5494233766
2024-03-14,1747818.7978058732
2024-03-15,1730190.8205774329
2024-03-18,1776719.298264274
2024-03-19,1784834.8288044217
2024-03-20,1777247.301433407
2024-03-21,1789917.8078843013
2024-03-22,1775731.0593457972
2024-03-25,1779929.5041775985
2024-03-26,1744691.332126213
2024-03-27,1755500.2944091945
2024-03-28,1765487.043967515
2024-03-29,1773885.0361653427
2024-04-01,1760710.015131159
2024-04-02,1806197.495998613
2024-04-03,1811453.0864409297
2024-04-08,1803743.362204366
2024-04-09,1832728.739082852
2024-04-10,1819648.7574115312
2024-04-11,1808939.2505164968
2024-04-12,1835934.4521677126
2024-04-15,1782499.916054986
2024-04-16,1715813.6833061953
2024-04-17,1778864.5503457834
2024-04-18,1806647.974120312
2024-04-19,1739603.7801450812
2024-04-22,1676984.9336190103
2024-04-23,1684838.298725818
2024-04-24,1744805.7186550004
2024-04-25,1728794.8300947342
2024-04-26,1746469.370644602
2024-04-29,1747530.4686912233
2024-04-30,1744456.4842858007
2024-05-02,1734280.1166186938
2024-05-03,1738350.5945038374
2024-05-06,1745595.2190368182
2024-05-07,1747953.7071785224
2024-05-08,1738546.0390092575
2024-05-09,1726540.4140693857
2024-05-10,1731730.7979369198
2024-05-13,1725140.899739865
2024-05-14,1727255.7927464726
2024-05-15,1747516.4788850385
2024-05-16,1786572.5573190283
2024-05-17,1758637.1859984992
2024-05-20,1751987.966238399
2024-05-21,1728293.3244789527
2024-05-22,1748456.7688196185
2024-05-23,1748155.8765179925
2024-05-24,1777061.0067153673
2024-05-27,1809337.9580252124
2024-05-28,1837140.992462371
2024-05-29,1814803.6876604191
2024-05-30,1807200.5027627903
2024-05-31,1772103.1295897644
2024-06-03,1791228.2503011692
2024-06-04,1778424.132490432
2024-06-05,1827159.1649659532
2024-06-06,1842518.9408644633
2024-06-07,1861489.423361991
2024-06-11,1791274.6942733887
2024-06-12,1773402.2901472063
2024-06-13,1804371.4646130227
2024-06-14,1843985.1758517395
2024-06-17,1828497.3730201125
2024-06-18,1844406.8440895006
2024-06-19,1836997.7981591655
2024-06-20,1863453.4536002271
2024-06-21,1853232.0376359522
2024-06-24,1816988.8286474966
2024-06-25,1832171.5232480313
2024-06-26,1833067.650057277
2024-06-27,1822476.4354760218
2024-06-28,1840481.4828048942
2024-07-01,1825347.9696688843
2024-07-02,1804350.3554599183
2024-07-03,1829242.80706487
2024-07-04,1834440.7269907284
2024-07-05,1820323.5563721915
2024-07-08,1860155.9150872407
2024-07-09,1862893.3035916863
2024-07-10,1880718.9887653524
2024-07-11,1896774.230687584
2024-07-12,1862565.00171447
2024-07-15,1876341.8893617098
2024-07-16,1871466.9524975724
2024-07-17,1887592.5754343232
2024-07-18,1844247.9262427657
2024-07-19,1816654.221643625
2024-07-22,1743092.3825737883
2024-07-23,1778363.1613618776
2024-07-26,1771710.130418886
2024-07-29,1762200.323873906
2024-07-30,1777289.830765869
2024-07-31,1779919.051151099
2024-08-01,1796969.3638466496
2024-08-02,1756003.129537124
2024-08-05,1695197.375192703
2024-08-06,1701532.437954658
2024-08-07,1714721.7053240535
2024-08-08,1708537.3037237616
2024-08-09,1720936.5654485761
2024-08-12,1726633.1418678376
2024-08-13,1726023.3280048815
2024-08-14,1725585.953921832
2024-08-15,1726009.176094104
2024-08-16,1728236.2293342783
2024-08-19,1727901.5605066952
2024-08-20,1726786.2664183974
2024-08-21,1724869.0674175208
2024-08-22,1724944.8889166245
2024-08-23,1724695.4065040555
2024-08-26,1732776.770883025
2024-08-27,1731700.1314229222
2024-08-28,1735338.5865840255
2024-08-29,1731603.7058373475
2024-08-30,1730787.3902752725
2024-09-02,1730351.5789160305
2024-09-03,1725776.6160658181
2024-09-04,1693502.2721924454
2024-09-05,1694982.2993537427
2024-09-06,1700779.7955838307
2024-09-09,1695473.0313894243
2024-09-10,1687459.0218069549
2024-09-11,1689927.6958501562
2024-09-12,1711878.5980211329
2024-09-13,1707853.3619160368
2024-09-16,1708872.3169953022
2024-09-18,1700415.8886726357
2024-09-19,1716001.5803912068
2024-09-20,1714460.7270515293
2024-09-23,1714629.1041692488
2024-09-24,1718724.4953799157
2024-09-25,1722488.2701291782
2024-09-26,1718682.7641418057
2024-09-27,1730196.6319798797
2024-09-30,1701930.864458939
2024-10-01,1704800.5307539424
2024-10-04,1655216.8329102728
2024-10-07,1684786.1866521651
2024-10-08,1674301.2792611145
2024-10-09,1673524.7560986816
2024-10-11,1665933.3607051657
2024-10-14,1677606.744354601
2024-10-15,1677719.2210314153
2024-10-16,1682960.5600218985
2024-10-17,1694508.0332099148
2024-10-18,1691380.356262439
2024-10-21,1715577.4085793756
2024-10-22,1715728.4203865388
2024-10-23,1712077.940759902
2024-10-24,1680210.1928937263
2024-10-25,1705889.8142786832
2024-10-28,1693898.144492233
2024-10-29,1653743.520114576
2024-10-30,1644319.6871932154
2024-11-01,1659917.4846118256
2024-11-04,1662506.4116341318
2024-11-05,1677043.552234032
2024-11-06,1707284.2741321288
2024-11-07,1718768.4110974842
2024-11-08,1724133.7532148142
2024-11-11,1711079.842392339
2024-11-12,1687333.9806815954
2024-11-13,1688068.0362147267
2024-11-14,1677991.9668057705
2024-11-15,1667197.8249779555
2024-11-18,1630109.7270334158
2024-11-19,1677122.0068769704
2024-11-20,1673095.6983689065
2024-11-21,1697875.3110137633
2024-11-22,1706612.4948705751
2024-11-25,1713623.0513261638
2024-11-26,1698717.0563085917
2024-11-27,1652181.8764345916
2024-11-28,1651126.2194338623
2024-11-29,1661605.267452342
2024-12-02,1679760.8251363793
2024-12-03,1691238.6773803863
2024-12-04,1708296.4639582725
2024-12-05,1703363.7623106097
2024-12-06,1708738.0389297493
2024-12-09,1739886.4785045595
2024-12-10,1720281.9082835938
2024-12-11,1720468.259901037
2024-12-12,1728545.1344754882
2024-12-13,1740633.5562838528
2024-12-16,1738412.8560430421
2024-12-17,1756114.1836386893
2024-12-18,1753784.0435109271
2024-12-19,1747532.6702519408
2024-12-20,1726337.8450127856
2024-12-23,1746810.0654548323
2024-12-24,1719754.4739481462
2024-12-25,1726741.6282922246
2024-12-26,1734151.7575278226
2024-12-27,1763330.0016888587
2024-12-30,1745759.138331244
2024-12-31,1756976.9998988507
2025-01-02,1719142.8510532689
2025-01-03,1732099.0963360246
2025-01-06,1755583.4689421086
2025-01-07,1757298.6478017438
2025-01-08,1747286.6344737967
2025-01-09,1720382.4202463324
2025-01-10,1706148.4392006202
2025-01-13,1664890.6152486554
2025-01-14,1681233.8787757545
2025-01-15,1672766.0934065024
2025-01-16,1681412.439221222
2025-01-17,1694862.6460144157
2025-01-20,1699229.0555401905
2025-01-21,1699205.095435136
2025-01-22,1707458.9051195388
2025-02-03,1687367.1660829678
2025-02-04,1680289.325806404
2025-02-05,1694977.1741897885
2025-02-06,1691201.147998544
2025-02-07,1684848.3063387282
2025-02-10,1678538.3114864058
2025-02-11,1680910.8187247475
2025-02-12,1683606.5522363682
2025-02-13,1685171.7709821698
2025-02-14,1675184.7478852584
2025-02-17,1681994.570279052
2025-02-18,1684155.5415763375
2025-02-19,1712133.559551966
2025-02-20,1706567.4138944086
2025-02-21,1731198.6419852425
2025-02-24,1735840.4868477324
2025-02-25,1732860.1131136636
2025-02-26,1714590.1619978817
2025-02-27,1697376.2143475036
2025-03-03,1671123.7934080984
2025-03-04,1680429.3143743263
2025-03-05,1690910.3574833004
2025-03-06,1675852.194963547
2025-03-07,1675244.8100241374
2025-03-10,1687994.7162353839
2025-03-11,1665592.2434233297
2025-03-12,1691591.327546954
2025-03-13,1690525.711195804
2025-03-14,1708730.0131060814
2025-03-17,1702189.0523749723
2025-03-18,1696103.5637909255
2025-03-19,1696966.60975845
2025-03-20,1715201.354535142
2025-03-21,1711935.1053266637
2025-03-24,1708791.817480859
2025-03-25,1704915.5797673305
2025-03-26,1706027.7793051042
2025-03-27,1704789.140446491
2025-03-28,1701747.6427982403
2025-03-31,1694900.559319147
