Date,Equity
2023-05-29,200381.86743099973
2023-05-30,198640.07788496892
2023-05-31,199124.00012999895
2023-06-01,203410.20788598937
2023-06-02,206257.03935704418
2023-06-05,207389.30453687388
2023-06-06,206771.83189371167
2023-06-07,210798.84977631795
2023-06-08,205323.0725335204
2023-06-09,214345.97556106083
2023-06-12,212879.48814969423
2023-06-13,219626.89484477194
2023-06-14,223618.64704702882
2023-06-15,233925.09871665368
2023-06-16,235508.3117969213
2023-06-19,234867.36114945874
2023-06-20,233566.1813427489
2023-06-21,236484.237163649
2023-06-26,232649.08550895657
2023-06-27,225150.74923699605
2023-06-28,226303.67744220412
2023-06-29,229381.00831193547
2023-06-30,233032.0175890825
2023-07-03,238442.3192831581
2023-07-04,250202.37508562687
2023-07-05,247533.84935702189
2023-07-06,247928.39897804958
2023-07-07,245284.67970225122
2023-07-10,246560.1333055314
2023-07-11,254997.54927310476
2023-07-12,262526.51115213166
2023-07-13,269044.1395088232
2023-07-14,278819.9773552219
2023-07-17,280460.99913779105
2023-07-18,278673.4529105356
2023-07-19,274502.7833770389
2023-07-20,281141.6786735854
2023-07-21,297066.74800532014
2023-07-24,303847.02910838113
2023-07-25,298374.50800062285
2023-07-26,297439.3982058304
2023-07-27,295840.04472582415
2023-07-28,301903.76359561214
2023-07-31,292945.44177389285
2023-08-01,289753.64307022316
2023-08-02,268142.02955164545
2023-08-04,269989.9417414711
2023-08-07,284286.22906797734
2023-08-08,282003.4953267634
2023-08-09,281878.5900829608
2023-08-10,269078.8700667632
2023-08-11,273164.98900054063
2023-08-14,269148.00737400865
2023-08-15,278601.4318504595
2023-08-16,285938.42664444295
2023-08-17,292941.4535358027
2023-08-18,285356.38531296304
2023-08-21,289901.1931042559
2023-08-22,294116.56910961674
2023-08-23,296513.61668229854
2023-08-24,297268.9390792605
2023-08-25,292633.5307805553
2023-08-28,290042.0406798669
2023-08-29,290451.7221268456
2023-08-30,290346.4764741329
2023-08-31,290411.6083139684
2023-09-01,288821.31487952545
2023-09-04,289095.883885409
2023-09-05,288849.0246174813
2023-09-06,289185.5105334142
2023-09-07,288908.3251195501
2023-09-08,288224.3192793763
2023-09-11,286739.1819316125
2023-09-12,287133.2642404981
2023-09-13,287513.88705921033
2023-09-14,288063.85587534215
2023-09-15,288307.8881846726
2023-09-18,287170.06116136967
2023-09-19,286837.0066148933
2023-09-20,284202.48554874735
2023-09-21,282346.62449168967
2023-09-22,283167.9293436643
2023-09-25,284007.46874341957
2023-09-26,283271.99310068606
2023-09-27,283909.1147154779
2023-09-28,284190.78978477826
2023-10-02,284313.30674412375
2023-10-03,284390.85905716923
2023-10-04,284222.804296349
2023-10-05,284773.18492391653
2023-10-06,284508.5643454459
2023-10-11,284459.31075640226
2023-10-12,284941.0248475493
2023-10-13,285161.53772535815
2023-10-16,283988.40587051987
2023-10-17,283155.15575559495
2023-10-18,279778.6603457062
2023-10-19,280104.6246960637
2023-10-20,279589.7245731797
2023-10-23,278417.196588794
2023-10-24,278394.40177745506
2023-10-25,278075.7003159387
2023-10-26,276477.24634896376
2023-10-27,277120.3878572286
2023-10-30,277372.14460258017
2023-10-31,275458.4751179384
2023-11-01,275616.66677771026
2023-11-02,277168.8640388675
2023-11-03,278606.5778052771
2023-11-06,281011.0427759802
2023-11-07,287153.4601990436
2023-11-08,288512.1459629728
2023-11-09,287200.8054172885
2023-11-10,284839.684742654
2023-11-13,282509.057812653
2023-11-14,283792.94080140116
2023-11-15,283169.0129979568
2023-11-16,281547.5314748755
2023-11-17,281845.55854026374
2023-11-20,281945.25255941483
2023-11-21,283240.2661248744
2023-11-22,282766.686122041
2023-11-23,280203.4336563961
2023-11-24,279590.46599500027
2023-11-27,275384.38250412524
2023-11-28,279852.28279955784
2023-11-29,281572.00991431973
2023-11-30,281171.42607050965
2023-12-01,282760.8090156832
2023-12-04,282758.14646276244
2023-12-05,287560.94402657344
2023-12-06,291673.66313985165
2023-12-07,295518.79646817036
2023-12-08,300653.92806452775
2023-12-11,295035.2409212241
2023-12-12,297410.87302433804
2023-12-13,297482.5442856588
2023-12-14,296652.8620100626
2023-12-15,293947.45384230476
2023-12-18,292677.5507578681
2023-12-19,288992.9857339903
2023-12-20,287824.12512991735
2023-12-21,285871.24963511934
2023-12-22,287811.0826001273
2023-12-25,282713.99787414423
2023-12-26,285776.4854774866
2023-12-27,287694.2238606089
2023-12-28,286328.11421692924
2023-12-29,285531.09019592986
2024-01-02,285212.7597055038
2024-01-03,282576.6758501702
2024-01-04,283053.8274418198
2024-01-05,282986.1079043278
2024-01-08,281081.96861273434
2024-01-09,274653.69704174396
2024-01-10,272116.6216276036
2024-01-11,272702.02892544254
2024-01-12,272150.5470662593
2024-01-15,270638.94100205746
2024-01-16,271576.9394865184
2024-01-17,269662.37606607185
2024-01-18,270295.04141485004
2024-01-19,273085.54046677984
2024-01-22,278390.5468461021
2024-01-23,281363.55492113647
2024-01-24,280245.1201206313
2024-01-25,280839.9026625059
2024-01-26,278372.02562328015
2024-01-29,280839.9137400074
2024-01-30,284878.2772306602
2024-01-31,282875.8835860462
2024-02-01,291942.2455893839
2024-02-02,301851.7814425444
2024-02-05,305472.62068778346
2024-02-15,317358.8605506478
2024-02-16,311652.0646619231
2024-02-19,307766.6112688573
2024-02-20,305479.337649013
2024-02-21,303653.47631259146
2024-02-22,306510.4053062198
2024-02-23,304860.60828167986
2024-02-26,304999.5782004937
2024-02-27,299568.44600880693
2024-02-29,307424.5734624258
2024-03-01,311541.9216242254
2024-03-04,314144.5879103675
2024-03-05,322269.94265716936
2024-03-06,330123.0356881847
2024-03-07,324613.4333351064
2024-03-08,316993.5646469226
2024-03-11,320402.7786549145
2024-03-12,321432.37409715925
2024-03-13,317248.0303442406
2024-03-14,306827.6675864972
2024-03-15,303733.09002518223
2024-03-18,311901.1206591501
2024-03-19,313325.79067191447
2024-03-20,311993.80931078555
2024-03-21,314218.0984451102
2024-03-22,311727.62900303426
2024-03-25,312464.66193312133
2024-03-26,306278.6423648802
2024-03-27,308176.1424345318
2024-03-28,309929.3090347075
2024-03-29,311403.5758970745
2024-04-01,309090.7132617932
2024-04-02,317075.9832420214
2024-04-03,317998.59641335224
2024-04-08,316645.1702852512
2024-04-09,321733.5159667303
2024-04-10,319437.33394955995
2024-04-11,317557.2921615529
2024-04-12,322296.2759596232
2024-04-15,312915.90460820723
2024-04-16,301209.20523384906
2024-04-17,312277.7199986038
2024-04-18,317155.06684199814
2024-04-19,305385.53455279046
2024-04-22,294392.8586248186
2024-04-23,295771.51312924793
2024-04-24,306298.72186450876
2024-04-25,303488.0306195367
2024-04-26,306590.77739205235
2024-04-29,306777.0503457305
2024-04-30,306237.4173862064
2024-05-02,304450.968846572
2024-05-03,305165.53522958973
2024-05-06,306437.3200482091
2024-05-07,306851.3491976966
