,Score
1303,3.933333333333333
3443,3.9
2615,3.8
3017,3.7666666666666666
2368,3.65
6669,3.6
1326,3.566666666666667
2357,3.4666666666666663
2395,3.3833333333333333
3044,3.3833333333333333
2301,3.333333333333334
1301,3.3000000000000003
3661,3.2333333333333334
2408,3.116666666666667
1519,3.05
2603,2.9666666666666663
2883,2.8999999999999995
2887,2.7833333333333337
1605,2.6666666666666665
2881,2.5833333333333335
6505,2.583333333333333
6770,2.55
2609,2.55
2449,2.3833333333333333
2882,2.3833333333333333
2382,2.3166666666666664
2634,2.266666666666667
2454,2.1500000000000004
2344,1.9833333333333334
2383,1.9
2376,1.8666666666666667
2324,1.8333333333333335
2303,1.8
6446,1.8
2892,1.7666666666666668
2377,1.7666666666666668
1101,1.6833333333333333
6239,1.6333333333333333
3034,1.583333333333333
2884,1.5666666666666664
2330,1.3166666666666667
2360,1.2666666666666666
3037,1.2333333333333334
3045,1.1333333333333333
3711,1.0333333333333332
2317,0.9500000000000001
2885,0.9166666666666667
2356,0.9166666666666665
2891,0.9
2379,0.8999999999999999
3481,0.8166666666666667
2886,0.8
3231,0.75
6285,0.4666666666666667
2327,0.4666666666666666
2404,0.44999999999999996
6415,0.33333333333333337
2345,0.31666666666666665
3036,0.18333333333333335
3533,0.1
