Date,Equity
2023-08-24,199980.16592974012
2023-08-25,199380.5912203145
2023-08-28,198828.1525802067
2023-08-29,199204.0867481575
2023-08-30,199729.72011327583
2023-08-31,199705.3088255532
2023-09-01,199287.89074430734
2023-09-04,199583.90175985216
2023-09-05,199441.32456693958
2023-09-06,200038.93209581473
2023-09-07,199788.35224165174
2023-09-08,199854.31515564304
2023-09-11,199001.16590285933
2023-09-12,199404.44050546733
2023-09-13,199464.32879794863
2023-09-14,199843.5210560821
2023-09-15,199997.50354956542
2023-09-18,199476.52652107604
2023-09-19,199529.0914303007
2023-09-20,198104.28005457026
2023-09-21,196495.34760811622
2023-09-22,197090.96967364597
2023-09-25,197288.6127581193
2023-09-26,196908.7291585322
2023-09-27,197010.94582005867
2023-09-28,197127.29070213588
2023-10-02,197269.70451753968
2023-10-03,197019.98535208154
2023-10-04,196898.96428891987
2023-10-05,197223.99987937164
2023-10-06,197079.5844038064
2023-10-11,197162.01360783773
2023-10-12,197279.43853662684
2023-10-13,197321.48245258973
2023-10-16,197016.11113922182
2023-10-17,197044.29013508023
2023-10-18,196786.98657703222
2023-10-19,196797.0463833707
2023-10-20,196319.9469192156
2023-10-23,195399.1901175484
2023-10-24,195089.06843477124
2023-10-25,194994.5812261972
2023-10-26,194563.06306752164
2023-10-27,194442.98235313402
2023-10-30,194880.50559831053
2023-10-31,193836.5044651021
2023-11-01,194069.7349354157
2023-11-02,194644.66495034343
2023-11-03,194658.9403985444
2023-11-06,196726.02254055842
2023-11-07,200522.937606393
2023-11-08,201324.38931145525
2023-11-09,200264.43786101876
2023-11-10,198923.27589661937
2023-11-13,197990.75562337626
2023-11-14,198492.08137919824
2023-11-15,199032.56939180792
2023-11-16,197367.19670537658
2023-11-17,197845.36129316236
2023-11-20,198037.48066141419
2023-11-21,198482.18565894171
2023-11-22,198135.79265594174
2023-11-23,196255.89738940034
2023-11-24,195927.94829553436
2023-11-27,193002.32365838668
2023-11-28,196072.75332932518
2023-11-29,197314.43573068533
2023-11-30,197010.01913129177
2023-12-01,198133.17997601195
2023-12-04,197889.1358669211
2023-12-05,201344.76602628222
2023-12-06,204208.62439285676
2023-12-07,206728.1926349772
2023-12-08,211028.52355372236
2023-12-11,208376.09069702457
2023-12-12,210111.44544589784
2023-12-13,210660.56749265088
2023-12-14,210880.4100306557
2023-12-15,208481.92510281558
2023-12-18,206060.45890556532
2023-12-19,202916.9925268225
2023-12-20,201632.93836028685
2023-12-21,201717.90668859205
2023-12-22,202755.16910046028
2023-12-25,201927.27809638777
2023-12-26,204388.90656559484
2023-12-27,206564.66188718696
2023-12-28,205868.63535012107
2023-12-29,205302.9502976109
2024-01-02,204760.5048243671
2024-01-03,202977.65195985523
2024-01-04,202433.45597826238
2024-01-05,202095.51419741314
2024-01-08,201154.72976546545
2024-01-09,197229.10393371168
2024-01-10,194766.21848865316
2024-01-11,195682.34179184763
2024-01-12,194959.29057113378
2024-01-15,195181.18614684072
2024-01-16,196039.59484161736
2024-01-17,194406.84729627246
2024-01-18,195093.302989282
2024-01-19,196397.76010690868
2024-01-22,198856.509331922
2024-01-23,200752.3940103329
2024-01-24,199564.77958913016
2024-01-25,200253.19175638794
2024-01-26,198031.30511464723
2024-01-29,199699.926107938
2024-01-30,201128.57413916703
2024-01-31,200509.1178347826
2024-02-01,206706.35001627097
2024-02-02,211762.2675648705
2024-02-05,213972.8814516318
2024-02-15,223248.6481744262
2024-02-16,218753.56432451308
2024-02-19,214707.2546024778
2024-02-20,213197.1834773954
2024-02-21,211654.29587337564
2024-02-22,213664.37312314473
2024-02-23,213324.25666237657
2024-02-26,213979.32689290357
2024-02-27,209855.81775147273
2024-02-29,215062.17977890937
2024-03-01,218086.13971030447
2024-03-04,220706.15786919277
2024-03-05,226126.54085488425
2024-03-06,231256.35467549152
2024-03-07,228520.25925425423
2024-03-08,223748.00550771007
2024-03-11,225570.6567181493
2024-03-12,228462.66555011165
2024-03-13,226481.61692664432
2024-03-14,219085.23690124403
2024-03-15,216907.91016815734
2024-03-18,223548.42687665857
2024-03-19,224525.21229370456
2024-03-20,223584.33262979818
2024-03-21,225212.97795574064
2024-03-22,223515.1976700045
2024-03-25,224106.8294031298
2024-03-26,219733.73822529943
2024-03-27,220534.92838772372
2024-03-28,221790.74902902445
2024-03-29,222275.3578415928
2024-04-01,220864.5107139415
2024-04-02,226537.37248254364
2024-04-03,227088.0832589214
2024-04-08,226288.98246680686
2024-04-09,229917.67309115635
2024-04-10,228271.93763185697
2024-04-11,226929.27466856808
2024-04-12,231018.67921204446
2024-04-15,223951.10610478782
2024-04-16,215630.08837858317
2024-04-17,223534.05038107108
2024-04-18,227035.661021881
2024-04-19,218622.1891053379
2024-04-22,210760.62287774167
2024-04-23,211742.4736678661
2024-04-24,219457.93774747508
2024-04-25,217429.37400686994
2024-04-26,219828.1376814333
2024-04-29,219963.030551526
2024-04-30,219159.5548872818
2024-05-02,217627.71094369757
2024-05-03,218671.0511304458
2024-05-06,219220.9367673787
2024-05-07,220082.43001619334
2024-05-08,218984.91319248802
2024-05-09,218486.52176826718
2024-05-10,221006.27041783856
2024-05-13,221974.1140274434
2024-05-14,223376.58882713594
2024-05-15,224713.6424741443
2024-05-16,231322.78673613069
2024-05-17,227612.19081031843
2024-05-20,226194.6180997896
2024-05-21,222956.69126448446
2024-05-22,225397.97770663077
2024-05-23,225225.89287699197
2024-05-24,228873.59520741832
2024-05-27,233146.759993308
2024-05-28,236061.87492859853
2024-05-29,233039.20796048502
2024-05-30,231740.0759641566
2024-05-31,227209.83393669422
2024-06-03,229913.08126252398
2024-06-04,227644.83776129904
2024-06-05,233869.09714244545
2024-06-06,235499.58993111583
2024-06-07,237593.6328850887
2024-06-11,228518.43670170612
2024-06-12,225733.56110236875
2024-06-13,228842.93561988074
2024-06-14,233682.9400497103
2024-06-17,231367.42853367992
2024-06-18,233223.68519533047
2024-06-19,233432.04663740084
2024-06-20,236340.34332898358
2024-06-21,234978.55969826976
2024-06-24,230563.7518374973
2024-06-25,231150.4531404758
2024-06-26,231954.13712436502
2024-06-27,231534.3428448078
2024-06-28,233639.91895006289
2024-07-01,231677.97504738823
2024-07-02,229382.16863576125
2024-07-03,232580.85338744277
2024-07-04,233387.65205972324
2024-07-05,230745.06103908
2024-07-08,236190.979629271
2024-07-09,237655.13065555994
2024-07-10,239514.579985271
2024-07-11,241662.94032519305
2024-07-12,235324.32934135324
2024-07-15,237470.44173446315
2024-07-16,237169.8738108797
2024-07-17,239906.67197684463
2024-07-18,233396.85927120567
